image_id,scenario_group,gt,source_type,generation_model,generation_batch,prompt_group,seed,date,prompt,split
P22_01_001,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260917,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,DEV
P22_01_002,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260918,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,VAL
P22_01_003,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260919,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,HOLDOUT
P22_01_004,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260920,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,DEV
P22_01_005,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260921,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,VAL
P22_01_006,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260922,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,HOLDOUT
P22_01_007,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260923,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,DEV
P22_01_008,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260924,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,VAL
P22_01_009,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260925,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,HOLDOUT
P22_01_010,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260926,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,DEV
P22_01_011,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260927,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,VAL
P22_01_012,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260928,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,HOLDOUT
P22_01_013,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260929,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,DEV
P22_01_014,P22_01,positive,ai_generated,TBD,V22_20260916,P22_01,20260930,2026-09-16,Unmarked curbside or roadside parking; show curb/road edge or one roadside line but no marked bay.,VAL
