error_type,source_id,media_id,group_key,sample_role,v1_2_gt,evaluation_scope,model_label,evidence_type,reason,status,protocol_success,latency_seconds,relative_path,error
FN,1,IMG_007520,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the parking lines, and not obstructing any driving aisles or adjacent spaces.",ok,True,12.181513,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007520.png,
FN,2,IMG_007521,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the white lines, and does not obstruct any driving aisles or adjacent spaces.",ok,True,9.315824,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007521.png,
FN,3,IMG_007522,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the parking lines, and not obstructing any driving aisles or adjacent spaces.",ok,True,8.089562,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007522.png,
FN,4,IMG_007523,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The silver vehicle is positioned within a single designated parking space, aligned with the yellow lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces. The black vehicle in the background is also parked within its designated space. No clear violations of parking order are evident.",ok,True,10.946961,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007523.png,
FN,5,IMG_007524,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the yellow lines, and does not substantially intrude into adjacent areas or the driving aisle.",ok,True,5.341046,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007524.png,
FN,6,IMG_007525,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a clearly marked parking space, aligned with the lane, and does not obstruct traffic or other parking areas.",ok,True,5.318095,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007525.png,
FN,7,IMG_007526,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white van is parked within a single designated parking space, aligned with the parking lines, and not obstructing any driving aisles or adjacent spaces.",ok,True,4.963758,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007526.png,
FN,8,IMG_007527,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white van is parked within a clearly marked parking space, aligned with the lane, and not obstructing any driving aisles or other spaces.",ok,True,4.979775,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007527.png,
FN,9,IMG_007528,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white van is parked within a single designated parking space, aligned with the parking lines, and does not obstruct any driving aisles or encroach upon adjacent spaces.",ok,True,5.213199,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007528.png,
FN,10,IMG_007529,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is positioned within a clearly marked parking space, aligned with the yellow lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,5.331986,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007529.png,
FN,11,IMG_007530,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the yellow lines, and does not obstruct the driving aisle or other spaces.",ok,True,5.286496,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007530.png,
FN,12,IMG_007531,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a clearly marked parking space, aligned with the yellow lines, and does not obstruct the driving aisle or intrude into adjacent spaces.",ok,True,5.321346,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007531.png,
FN,13,IMG_007532,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is parked within a single designated parking space, aligned with the lane markings, and does not obstruct the driving aisle or intrude into adjacent spaces.",ok,True,5.088928,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007532.png,
FN,14,IMG_007533,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is positioned within a single designated parking space, aligned with the parking lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,5.118326,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007533.png,
FN,15,IMG_007534,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is parked within a single designated parking space, aligned with the white lines, and does not intrude into adjacent spaces or the driving aisle.",ok,True,5.201594,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007534.png,
FN,16,IMG_007535,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is parked within a single designated parking space, aligned with the yellow lines, and does not obstruct the driving aisle or other spaces.",ok,True,5.153074,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007535.png,
FN,17,IMG_007536,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is parked within a clearly marked parking space, aligned with the lane, and shows no signs of occupying multiple spaces or intruding into adjacent areas.",ok,True,5.179553,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007536.png,
FN,18,IMG_007537,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is positioned within a clearly marked parking space, aligned with the yellow lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,5.173536,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007537.png,
FN,19,IMG_007538,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is positioned within a single designated parking space, aligned with the parking lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,5.232395,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007538.png,
FN,20,IMG_007539,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is parked within a single designated parking space, aligned with the parking lines, and does not obstruct the driving aisle or intrude into adjacent spaces.",ok,True,5.277992,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007539.png,
FN,21,IMG_007540,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white sedan is positioned within a single designated parking space, aligned with the parking lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,5.376214,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007540.png,
FN,22,IMG_007541,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The silver sedan is parked squarely within a single marked parking space, aligned with the yellow lines, and does not intrude into adjacent spaces or the driving aisle.",ok,True,5.327768,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007541.png,
FN,23,IMG_007542,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The silver sedan is parked within a clearly marked yellow-lined parking space, aligned properly with no evidence of occupying multiple spaces, severe angling, or intrusion into driving aisles.",ok,True,5.281984,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007542.png,
FN,24,IMG_007543,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The silver sedan is parked within a clearly marked yellow-lined parking space, aligned properly with no evidence of occupying multiple spaces, severe angling, or intrusion into driving aisles.",ok,True,5.268772,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007543.png,
FN,26,IMG_007544,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"All visible vehicles are parked within designated spaces or in the driving lane; no vehicle is substantially outside a space, occupying multiple spaces, severely angled across spaces, or blocking the driving aisle.",ok,True,5.15713,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007544.png,
FN,27,IMG_007545,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a clearly marked parking space, aligned with the lane, and does not obstruct any driving aisles or adjacent spaces.",ok,True,5.041986,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007545.png,
FN,28,IMG_007546,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The black SUV is parked within a clearly marked parking space, aligned with the yellow lines, and not obstructing any driving aisles or adjacent spaces. No other vehicles are visible in the immediate vicinity that would suggest a violation. The scene shows no evidence of substantial parking-order violations.",ok,True,5.295256,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007546.png,
FN,29,IMG_007547,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the yellow lines, and does not obstruct the driving aisle or other spaces.",ok,True,5.160581,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007547.png,
FN,30,IMG_007548,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a clearly marked parking space, aligned with the yellow lines, and does not obstruct the driving aisle or intrude into adjacent spaces.",ok,True,5.091593,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007548.png,
FN,31,IMG_007549,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the white lines, and does not obstruct the driving aisle or other spaces.",ok,True,5.034106,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007549.png,
FN,33,IMG_007551,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the parking lines, and does not appear to be obstructing any driving aisles or encroaching on adjacent spaces.",ok,True,4.658018,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007551.png,
FN,34,IMG_007552,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white van is positioned within a driving lane or aisle, not in a marked parking space, and no other vehicles are visibly parked outside their designated spaces or occupying multiple spaces.",ok,True,4.918199,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007552.png,
FN,35,IMG_007553,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white van is positioned within a driving lane or parking area but does not show clear evidence of occupying multiple spaces, severely angling across spaces, or being parked substantially outside normal boundaries. Other vehicles in the background appear to be in designated parking spots or driving lanes without obvious violations.",ok,True,5.402702,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007553.png,
