media_id,source_id,relative_path,gt_label,sample_role,generation_group,subtype,manifest_split,p0_prediction,p0_reason,p0_status,http_status,schema_status,prediction_unique,relative_path_match,gt_match,sample_role_match,generation_group_match,subtype_match,source_id_match,split_match,status_ok,schema_ok,dev_path_contained,image_exists,image_sha256_match,binding_ok
IMG_007520,1,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007520.png,1,positive,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,train,0,"The black SUV is positioned within a clearly marked parking bay, aligned with the white painted lines, and does not appear to cross any bay boundaries or intrude into a travel aisle.",ok,not_recorded_in_frozen_prediction,ok,true,true,true,true,true,true,true,true,true,true,true,true,true,true
IMG_007521,2,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007521.png,1,positive,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,train,0,"The black SUV is positioned within a clearly marked parking bay, aligned with the white boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",ok,not_recorded_in_frozen_prediction,ok,true,true,true,true,true,true,true,true,true,true,true,true,true,true
IMG_007522,3,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007522.png,1,positive,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,train,0,"The black SUV is positioned within a clearly marked parking bay, aligned with the white painted lines, and does not appear to cross any bay boundaries or intrude into a travel aisle.",ok,not_recorded_in_frozen_prediction,ok,true,true,true,true,true,true,true,true,true,true,true,true,true,true
IMG_007523,4,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007523.png,1,positive,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,train,0,"The silver car is positioned within a clearly marked parking bay, and the black vehicle in the background is also within its designated bay. No vehicles are crossing boundaries or intruding into travel aisles.",ok,not_recorded_in_frozen_prediction,ok,true,true,true,true,true,true,true,true,true,true,true,true,true,true
IMG_007524,5,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007524.png,1,positive,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,train,0,"The vehicle is positioned within the yellow-lined parking bay, aligned with the bay boundaries and not intruding into the travel aisle or crossing bay lines.",ok,not_recorded_in_frozen_prediction,ok,true,true,true,true,true,true,true,true,true,true,true,true,true,true
IMG_007525,6,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007525.png,1,positive,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,train,0,"The gray minivan is positioned within a clearly marked parking bay, aligned with the yellow boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",ok,not_recorded_in_frozen_prediction,ok,true,true,true,true,true,true,true,true,true,true,true,true,true,true
IMG_007526,7,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007526.png,1,positive,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,train,0,"The white vehicle is positioned within a clearly marked parking bay, aligned with the white boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",ok,not_recorded_in_frozen_prediction,ok,true,true,true,true,true,true,true,true,true,true,true,true,true,true
IMG_007527,8,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007527.png,1,positive,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,train,0,"The white van is positioned within a clearly marked parking bay, aligned with the bay boundaries and not obstructing any travel aisles or crossing into non-parking areas.",ok,not_recorded_in_frozen_prediction,ok,true,true,true,true,true,true,true,true,true,true,true,true,true,true
IMG_007528,9,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007528.png,1,positive,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,train,0,"The white van is positioned within a clearly marked parking bay, aligned with the bay boundaries and not obstructing any travel aisles or crossing into non-parking areas.",ok,not_recorded_in_frozen_prediction,ok,true,true,true,true,true,true,true,true,true,true,true,true,true,true
IMG_007529,10,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007529.png,1,positive,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,train,0,"The vehicle is positioned within a clearly marked parking bay, aligned with the yellow boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",ok,not_recorded_in_frozen_prediction,ok,true,true,true,true,true,true,true,true,true,true,true,true,true,true
