evidence,group_id,group_key,gt_label,inference_error,latency_seconds,media_id,model_label,ollama_eval_count,ollama_load_duration_ns,ollama_prompt_eval_count,ollama_total_duration_ns,parse_error,raw_response,reason,relative_path,sample_role,source_id,split,status
Visible white parking bay lines frame the vehicle; the car is centered within the marked space without crossing boundaries.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,15.282555,IMG_007520,0,69,6914152025,476,15220351752,,"{""label"":""0"",""reason"":""The black SUV is positioned within a clearly marked parking bay, aligned with the white painted lines, and does not appear to cross any bay boundaries or intrude into a travel aisle."",""evidence"":""Visible white parking bay lines frame the vehicle; the car is centered within the marked space without crossing boundaries.""}","The black SUV is positioned within a clearly marked parking bay, aligned with the white painted lines, and does not appear to cross any bay boundaries or intrude into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007520.png,positive,1,train,ok
Vehicle is fully contained within a single marked parking space with visible white lines on both sides.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,25.152216,IMG_007521,0,67,569569519,476,25080856880,,"{""label"":""0"",""reason"":""The black SUV is positioned within a clearly marked parking bay, aligned with the white boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle."",""evidence"":""Vehicle is fully contained within a single marked parking space with visible white lines on both sides.""}","The black SUV is positioned within a clearly marked parking bay, aligned with the white boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007521.png,positive,2,train,ok
Visible white parking bay lines frame the vehicle; the car is contained within the marked rectangle on the pavement.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,17.58661,IMG_007522,0,69,564078205,476,17515781088,,"{""label"":""0"",""reason"":""The black SUV is positioned within a clearly marked parking bay, aligned with the white painted lines, and does not appear to cross any bay boundaries or intrude into a travel aisle."",""evidence"":""Visible white parking bay lines frame the vehicle; the car is contained within the marked rectangle on the pavement.""}","The black SUV is positioned within a clearly marked parking bay, aligned with the white painted lines, and does not appear to cross any bay boundaries or intrude into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007522.png,positive,3,train,ok
Visible yellow parking bay lines clearly contain both vehicles; no boundary crossing or non-parking intrusion is observed.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,9.519752,IMG_007523,0,72,559549183,476,9447424728,,"{""label"":""0"",""reason"":""The silver car is positioned within a clearly marked parking bay, and the black vehicle in the background is also within its designated bay. No vehicles are crossing boundaries or intruding into travel aisles."",""evidence"":""Visible yellow parking bay lines clearly contain both vehicles; no boundary crossing or non-parking intrusion is observed.""}","The silver car is positioned within a clearly marked parking bay, and the black vehicle in the background is also within its designated bay. No vehicles are crossing boundaries or intruding into travel aisles.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007523.png,positive,4,train,ok
"Visible yellow parking bay lines frame the vehicle, and the car is contained within this marked area without crossing boundaries.",POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,32.581813,IMG_007524,0,63,595654861,476,32513616056,,"{""label"":""0"",""reason"":""The vehicle is positioned within the yellow-lined parking bay, aligned with the bay boundaries and not intruding into the travel aisle or crossing bay lines."",""evidence"":""Visible yellow parking bay lines frame the vehicle, and the car is contained within this marked area without crossing boundaries.""}","The vehicle is positioned within the yellow-lined parking bay, aligned with the bay boundaries and not intruding into the travel aisle or crossing bay lines.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007524.png,positive,5,train,ok
Visible yellow parking bay lines frame the vehicle; the car is contained within the marked area without crossing boundaries.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,30.873209,IMG_007525,0,71,523531041,476,30812013876,,"{""label"":""0"",""reason"":""The gray minivan is positioned within a clearly marked parking bay, aligned with the yellow boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle."",""evidence"":""Visible yellow parking bay lines frame the vehicle; the car is contained within the marked area without crossing boundaries.""}","The gray minivan is positioned within a clearly marked parking bay, aligned with the yellow boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007525.png,positive,6,train,ok
Vehicle is centered in a single parking space with visible white bay lines on both sides; no boundary crossing or aisle intrusion is observed.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,30.929038,IMG_007526,0,75,418999969,476,30871228982,,"{""label"":""0"",""reason"":""The white vehicle is positioned within a clearly marked parking bay, aligned with the white boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle."",""evidence"":""Vehicle is centered in a single parking space with visible white bay lines on both sides; no boundary crossing or aisle intrusion is observed.""}","The white vehicle is positioned within a clearly marked parking bay, aligned with the white boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007526.png,positive,7,train,ok
"Visible white parking lines clearly define the bay boundaries, and the van is fully contained within them without crossing any lines or occupying adjacent spaces.",POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,31.142428,IMG_007527,0,72,494011661,476,31082798116,,"{""label"":""0"",""reason"":""The white van is positioned within a clearly marked parking bay, aligned with the bay boundaries and not obstructing any travel aisles or crossing into non-parking areas."",""evidence"":""Visible white parking lines clearly define the bay boundaries, and the van is fully contained within them without crossing any lines or occupying adjacent spaces.""}","The white van is positioned within a clearly marked parking bay, aligned with the bay boundaries and not obstructing any travel aisles or crossing into non-parking areas.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007527.png,positive,8,train,ok
Visible white parking lines define a rectangular bay that fully contains the vehicle; no boundary crossing or intrusion into aisles is observed.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,31.471107,IMG_007528,0,70,436148547,476,31413856644,,"{""label"":""0"",""reason"":""The white van is positioned within a clearly marked parking bay, aligned with the bay boundaries and not obstructing any travel aisles or crossing into non-parking areas."",""evidence"":""Visible white parking lines define a rectangular bay that fully contains the vehicle; no boundary crossing or intrusion into aisles is observed.""}","The white van is positioned within a clearly marked parking bay, aligned with the bay boundaries and not obstructing any travel aisles or crossing into non-parking areas.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007528.png,positive,9,train,ok
Visible yellow parking bay lines frame the vehicle; the truck is contained within the marked area without crossing boundaries.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,31.471609,IMG_007529,0,69,396792140,476,31409517461,,"{""label"":""0"",""reason"":""The vehicle is positioned within a clearly marked parking bay, aligned with the yellow boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle."",""evidence"":""Visible yellow parking bay lines frame the vehicle; the truck is contained within the marked area without crossing boundaries.""}","The vehicle is positioned within a clearly marked parking bay, aligned with the yellow boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007529.png,positive,10,train,ok
Vehicle is fully contained within one marked parking space with visible yellow bay lines on both sides.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,30.529577,IMG_007530,0,64,424726777,476,30468738175,,"{""label"":""0"",""reason"":""The single visible vehicle is positioned within a clearly marked parking bay, aligned with the yellow lines, and shows no evidence of crossing boundaries or intruding into travel aisles."",""evidence"":""Vehicle is fully contained within one marked parking space with visible yellow bay lines on both sides.""}","The single visible vehicle is positioned within a clearly marked parking bay, aligned with the yellow lines, and shows no evidence of crossing boundaries or intruding into travel aisles.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007530.png,positive,11,train,ok
Visible white parking bay lines frame the vehicle; car is centered within the designated space.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,29.813867,IMG_007532,0,63,426984602,476,29752629071,,"{""label"":""0"",""reason"":""The red car is positioned within a clearly marked parking bay, aligned with the white lines, and does not appear to be crossing boundaries or intruding into a travel aisle."",""evidence"":""Visible white parking bay lines frame the vehicle; car is centered within the designated space.""}","The red car is positioned within a clearly marked parking bay, aligned with the white lines, and does not appear to be crossing boundaries or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007532.png,positive,13,train,ok
Vehicle is fully contained within a single marked parking space with no visible boundary crossing or intrusion into non-parking areas.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,29.356653,IMG_007533,0,65,407984710,476,29297745937,,"{""label"":""0"",""reason"":""The red vehicle is positioned within a clearly marked parking bay, aligned with the bay boundaries and not intruding into the travel aisle or crossing bay lines."",""evidence"":""Vehicle is fully contained within a single marked parking space with no visible boundary crossing or intrusion into non-parking areas.""}","The red vehicle is positioned within a clearly marked parking bay, aligned with the bay boundaries and not intruding into the travel aisle or crossing bay lines.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007533.png,positive,14,train,ok
Vehicle is centered in a marked parking space with clear yellow lines on both sides.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,27.8718,IMG_007535,0,54,428327284,476,27812459321,,"{""label"":""0"",""reason"":""The white vehicle is positioned within the yellow-lined parking bay, with no visible intrusion into travel aisles or crossing of bay boundaries."",""evidence"":""Vehicle is centered in a marked parking space with clear yellow lines on both sides.""}","The white vehicle is positioned within the yellow-lined parking bay, with no visible intrusion into travel aisles or crossing of bay boundaries.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007535.png,positive,16,train,ok
Visible white parking bay lines frame the vehicle on both sides; the car is fully contained within the marked rectangle.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,28.00648,IMG_007536,0,63,399346173,476,27946365971,,"{""label"":""0"",""reason"":""The white vehicle is clearly positioned within a marked parking bay, aligned with the bay boundaries and not intruding into travel lanes or crossing bay lines."",""evidence"":""Visible white parking bay lines frame the vehicle on both sides; the car is fully contained within the marked rectangle.""}","The white vehicle is clearly positioned within a marked parking bay, aligned with the bay boundaries and not intruding into travel lanes or crossing bay lines.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007536.png,positive,17,train,ok
Visible yellow parking bay lines frame the vehicle on the left and rear; the car is fully contained within the marked space.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,28.931557,IMG_007537,0,75,409368310,476,28872551300,,"{""label"":""0"",""reason"":""The white vehicle is positioned within a clearly marked parking bay, bounded by yellow lines on the left and rear, and does not appear to cross any bay boundaries or intrude into a travel aisle."",""evidence"":""Visible yellow parking bay lines frame the vehicle on the left and rear; the car is fully contained within the marked space.""}","The white vehicle is positioned within a clearly marked parking bay, bounded by yellow lines on the left and rear, and does not appear to cross any bay boundaries or intrude into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007537.png,positive,18,train,ok
Vehicle is inside a marked parking space with visible white boundary lines on both sides.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,28.891598,IMG_007538,0,65,390773942,476,28828172820,,"{""label"":""0"",""reason"":""The white car is positioned within a clearly marked parking bay, aligned with the white painted lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle."",""evidence"":""Vehicle is inside a marked parking space with visible white boundary lines on both sides.""}","The white car is positioned within a clearly marked parking bay, aligned with the white painted lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007538.png,positive,19,train,ok
Visible white parking lines define a rectangular bay; the car is fully contained within these boundaries without crossing any lines.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,30.011115,IMG_007539,0,64,464569211,476,29948381274,,"{""label"":""0"",""reason"":""The white sedan is positioned within a clearly marked parking bay, aligned with the bay boundaries and not intruding into the travel aisle or crossing bay lines."",""evidence"":""Visible white parking lines define a rectangular bay; the car is fully contained within these boundaries without crossing any lines.""}","The white sedan is positioned within a clearly marked parking bay, aligned with the bay boundaries and not intruding into the travel aisle or crossing bay lines.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007539.png,positive,20,train,ok
Vehicle is inside a marked parking space; no boundary crossing or aisle intrusion is visible.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,29.509109,IMG_007540,0,59,416637597,476,29449732439,,"{""label"":""0"",""reason"":""The white sedan is positioned within a clearly marked parking bay, aligned with the lane boundaries and not crossing any lines or intruding into a travel aisle."",""evidence"":""Vehicle is inside a marked parking space; no boundary crossing or aisle intrusion is visible.""}","The white sedan is positioned within a clearly marked parking bay, aligned with the lane boundaries and not crossing any lines or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007540.png,positive,21,train,ok
Vehicle is centered in a single marked bay with clear yellow lines on both sides and front.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,27.873874,IMG_007541,0,58,368014446,476,27817200555,,"{""label"":""0"",""reason"":""The silver sedan is positioned squarely within a clearly marked yellow parking bay, with no visible intrusion into travel aisles or crossing of bay boundaries."",""evidence"":""Vehicle is centered in a single marked bay with clear yellow lines on both sides and front.""}","The silver sedan is positioned squarely within a clearly marked yellow parking bay, with no visible intrusion into travel aisles or crossing of bay boundaries.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007541.png,positive,22,train,ok
