media_id,group,target_id,category,reference_label,prediction_decision,detail
IMG_007533,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,"positive reference was uncertain, ignored, or not alerted"
IMG_007533,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,deterministic decision rejected contradictory model fields
IMG_007548,p01-outside-legal-bay-clear,T01,road_relation_error,positive_road,negative,explicit semantic polarity disagrees
IMG_007555,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,"positive reference was uncertain, ignored, or not alerted"
IMG_007555,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,deterministic decision rejected contradictory model fields
IMG_007555,p01-outside-legal-bay-clear,T07,semantic_conflict,negative_ordinary_bay,uncertain,deterministic decision rejected contradictory model fields
IMG_007554,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,"positive reference was uncertain, ignored, or not alerted"
IMG_007554,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,deterministic decision rejected contradictory model fields
IMG_007524,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,"positive reference was uncertain, ignored, or not alerted"
IMG_007524,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,deterministic decision rejected contradictory model fields
IMG_007531,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,"positive reference was uncertain, ignored, or not alerted"
IMG_007531,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,deterministic decision rejected contradictory model fields
IMG_007531,p01-outside-legal-bay-clear,T04,semantic_conflict,negative_ordinary_bay,uncertain,deterministic decision rejected contradictory model fields
IMG_007536,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,"positive reference was uncertain, ignored, or not alerted"
IMG_007536,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,deterministic decision rejected contradictory model fields
IMG_007547,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,"positive reference was uncertain, ignored, or not alerted"
IMG_007547,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,deterministic decision rejected contradictory model fields
IMG_007527,p01-outside-legal-bay-clear,T01,,positive_road,negative,prediction is not protocol-clean; retained in alert denominator
IMG_007527,p01-outside-legal-bay-clear,T02,,negative_ordinary_bay,negative,prediction is not protocol-clean; retained in alert denominator
IMG_007527,p01-outside-legal-bay-clear,T03,,negative_ordinary_bay,negative,prediction is not protocol-clean; retained in alert denominator
IMG_007527,p01-outside-legal-bay-clear,T04,unprocessed_target,negative_ordinary_bay,,prediction is not protocol-clean; retained in alert denominator
IMG_007527,p01-outside-legal-bay-clear,T05,unprocessed_target,negative_ordinary_bay,,prediction is not protocol-clean; retained in alert denominator
IMG_007529,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,"positive reference was uncertain, ignored, or not alerted"
IMG_007529,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,deterministic decision rejected contradictory model fields
IMG_007542,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,"positive reference was uncertain, ignored, or not alerted"
IMG_007542,p01-outside-legal-bay-clear,T01,semantic_conflict,positive_road,uncertain,deterministic decision rejected contradictory model fields
IMG_007620,p03-span-two-bays,T01,semantic_conflict,positive_two_bays,uncertain,"positive reference was uncertain, ignored, or not alerted"
IMG_007620,p03-span-two-bays,T01,semantic_conflict,positive_two_bays,uncertain,deterministic decision rejected contradictory model fields
IMG_007620,p03-span-two-bays,T04,semantic_conflict,negative_ordinary_bay,uncertain,deterministic decision rejected contradictory model fields
