media_id,group_key,selected_rank,vehicle_mask_quality,parking_geometry_quality,p01_outside_evidence_quality,p03_separator_evidence_quality,catastrophic_wrong_mask,reviewer,review_basis,not_human_gold,notes
IMG_007533,p01-outside-legal-bay-clear,1,GOOD,PARTIAL,GOOD,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007556,p01-outside-legal-bay-clear,1,GOOD,FAIL,FAIL,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007556,p01-outside-legal-bay-clear,2,GOOD,FAIL,FAIL,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007524,p01-outside-legal-bay-clear,1,GOOD,PARTIAL,GOOD,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007542,p01-outside-legal-bay-clear,1,GOOD,PARTIAL,GOOD,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007535,p01-outside-legal-bay-clear,1,GOOD,PARTIAL,GOOD,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007530,p01-outside-legal-bay-clear,1,GOOD,PARTIAL,GOOD,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007530,p01-outside-legal-bay-clear,2,GOOD,PARTIAL,GOOD,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007534,p01-outside-legal-bay-clear,1,GOOD,GOOD,GOOD,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007536,p01-outside-legal-bay-clear,1,GOOD,PARTIAL,PARTIAL,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007529,p01-outside-legal-bay-clear,1,GOOD,GOOD,PARTIAL,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007551,p01-outside-legal-bay-clear,1,GOOD,FAIL,FAIL,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007612,p03-span-two-bays,1,GOOD,GOOD,,GOOD,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007602,p03-span-two-bays,1,GOOD,GOOD,,GOOD,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007617,p03-span-two-bays,1,GOOD,PARTIAL,,PARTIAL,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
