level,group,reviewed_count,binary_count,tp,fp,tn,fn,recall,fpr,decisive_coverage
image,hn01-gate-queue,6,6,0,0,6,0,,0.0,0.0
image,hn04-large-vehicle-compliant,1,1,0,0,1,0,,0.0,0.0
image,hn06-shadows-cracks-curbs-mimic-lines,1,1,0,0,1,0,,0.0,0.0
image,n01-standard-inside-bay,1,1,0,0,1,0,,0.0,0.0
image,n02-close-to-line-but-inside,1,1,0,0,1,0,,0.0,0.0
image,n03-diagonal-bay-correct,1,1,0,0,1,0,,0.0,0.0
image,n04-parallel-bay-correct,1,1,0,0,1,0,,0.0,0.0
image,n05-multiple-all-correct,1,1,0,0,1,0,,0.0,0.0
image,n06-special-marked-space-geometry-correct,1,1,0,0,1,0,,0.0,0.0
image,p01-outside-legal-bay-clear,12,12,3,0,0,9,0.25,,0.25
image,p02-cross-single-boundary-line,3,3,0,0,3,0,,0.0,0.0
image,p03-span-two-bays,12,12,0,0,0,12,0.0,,0.08333333333333333
image,p04-angled-footprint-outside,3,3,0,0,3,0,,0.0,0.3333333333333333
image,p05-multi-vehicle-at-least-one-violation,8,8,0,0,0,8,0.0,,0.375
image,p06-nose-or-tail-intrudes-aisle,2,2,0,0,2,0,,0.0,0.0
image,u01-insufficient-parking-visual-evidence,2,0,0,0,0,0,,,
image,u02-markings-severely-missing-or-occluded,1,0,0,0,0,0,,,
image,u03-vehicle-cut-by-frame-edge,1,0,0,0,0,0,,,
image,u04-night-or-blur-boundary-unreadable,1,0,0,0,0,0,,,
image,u05-gate-queue-or-parking-ambiguous,1,0,0,0,0,0,,,
vehicle,hn01-gate-queue,20,20,0,0,20,0,,0.0,0.5
vehicle,hn04-large-vehicle-compliant,3,3,0,0,3,0,,0.0,0.6666666666666666
vehicle,hn06-shadows-cracks-curbs-mimic-lines,5,5,0,0,5,0,,0.0,0.2
vehicle,n01-standard-inside-bay,2,2,0,0,2,0,,0.0,0.5
vehicle,n02-close-to-line-but-inside,4,4,0,0,4,0,,0.0,0.75
vehicle,n03-diagonal-bay-correct,9,9,0,0,9,0,,0.0,0.6666666666666666
vehicle,n04-parallel-bay-correct,1,1,0,0,1,0,,0.0,0.0
vehicle,n05-multiple-all-correct,3,3,0,0,3,0,,0.0,0.6666666666666666
vehicle,n06-special-marked-space-geometry-correct,3,3,0,0,3,0,,0.0,0.6666666666666666
vehicle,p01-outside-legal-bay-clear,33,33,2,1,20,10,0.16666666666666666,0.047619047619047616,0.6060606060606061
vehicle,p02-cross-single-boundary-line,10,10,0,0,10,0,,0.0,0.4
vehicle,p03-span-two-bays,54,54,0,0,42,12,0.0,0.0,0.5925925925925926
vehicle,p04-angled-footprint-outside,22,22,0,0,22,0,,0.0,0.5909090909090909
vehicle,p05-multi-vehicle-at-least-one-violation,35,35,0,0,27,8,0.0,0.0,0.8285714285714286
vehicle,p06-nose-or-tail-intrudes-aisle,23,23,0,0,23,0,,0.0,0.6956521739130435
vehicle,u01-insufficient-parking-visual-evidence,4,0,0,0,0,0,,,
vehicle,u02-markings-severely-missing-or-occluded,2,0,0,0,0,0,,,
vehicle,u03-vehicle-cut-by-frame-edge,2,0,0,0,0,0,,,
vehicle,u04-night-or-blur-boundary-unreadable,3,0,0,0,0,0,,,
vehicle,u05-gate-queue-or-parking-ambiguous,2,0,0,0,0,0,,,
