media_id,relative_path,queue_type,generation_group,subtype,gt_intent,sample_role,p0_prediction,p0_reason,parking_space_evidence,vehicle_visibility,queue_context,violation_severity,v1_1_visual_label,candidate_v1_2_label,error_attribution,definition_issue,generation_issue,model_issue,review_status,review_notes
IMG_007520,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007520.png,FN,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,positive,0,"The black SUV is positioned within a clearly marked parking bay, aligned with the white painted lines, and does not appear to cross any bay boundaries or intrude into a travel aisle.",,,,,,,needs_human_review,,,,needs_human_review,
IMG_007521,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007521.png,FN,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,positive,0,"The black SUV is positioned within a clearly marked parking bay, aligned with the white boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",,,,,,,needs_human_review,,,,needs_human_review,
IMG_007522,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007522.png,FN,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,positive,0,"The black SUV is positioned within a clearly marked parking bay, aligned with the white painted lines, and does not appear to cross any bay boundaries or intrude into a travel aisle.",,,,,,,needs_human_review,,,,needs_human_review,
IMG_007523,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007523.png,FN,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,positive,0,"The silver car is positioned within a clearly marked parking bay, and the black vehicle in the background is also within its designated bay. No vehicles are crossing boundaries or intruding into travel aisles.",,,,,,,needs_human_review,,,,needs_human_review,
IMG_007524,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007524.png,FN,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,positive,0,"The vehicle is positioned within the yellow-lined parking bay, aligned with the bay boundaries and not intruding into the travel aisle or crossing bay lines.",,,,,,,needs_human_review,,,,needs_human_review,
IMG_007525,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007525.png,FN,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,positive,0,"The gray minivan is positioned within a clearly marked parking bay, aligned with the yellow boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",,,,,,,needs_human_review,,,,needs_human_review,
IMG_007526,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007526.png,FN,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,positive,0,"The white vehicle is positioned within a clearly marked parking bay, aligned with the white boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",,,,,,,needs_human_review,,,,needs_human_review,
IMG_007527,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007527.png,FN,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,positive,0,"The white van is positioned within a clearly marked parking bay, aligned with the bay boundaries and not obstructing any travel aisles or crossing into non-parking areas.",,,,,,,needs_human_review,,,,needs_human_review,
IMG_007528,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007528.png,FN,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,positive,0,"The white van is positioned within a clearly marked parking bay, aligned with the bay boundaries and not obstructing any travel aisles or crossing into non-parking areas.",,,,,,,needs_human_review,,,,needs_human_review,
IMG_007529,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007529.png,FN,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,positive,0,"The vehicle is positioned within a clearly marked parking bay, aligned with the yellow boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",,,,,,,needs_human_review,,,,needs_human_review,
