media_id,event_name,event_label,sample_role,evidence_description,reviewer,review_status,event_definition_version
IMG_007520,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=1; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007521,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=2; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007522,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=3; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007523,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=4; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007524,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=5; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007525,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=6; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007526,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=7; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007527,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=8; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007528,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=9; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007529,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=10; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007530,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=11; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007531,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=12; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007532,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=13; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007533,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=14; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007534,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=15; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007535,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=16; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007536,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=17; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007537,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=18; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007538,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=19; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007539,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=20; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007540,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=21; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007541,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=22; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007542,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=23; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007543,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=24; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007544,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=26; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007545,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=27; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007546,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=28; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007547,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=29; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007548,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=30; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007549,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=31; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007550,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=32; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007551,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=33; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007552,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=34; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007553,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=35; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007554,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=36; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
IMG_007555,parking_order_violation,1,positive,"GT_BASIS=generation_intent; GT_REVIEW_STATUS=unreviewed; source_slot=37; intended_group=p01-outside-legal-bay-clear; synthetic prompt-derived intent label, not human visual gold and not a model prediction.",,unreviewed,v1.1
