bbox,class_name,confidence,dedup_status,entity,evidence,image_id,match_status,matched_reference_vehicle_id,observation,raw_detection_id,review_medium,reviewed,run,status,target_id
"[1647.361083984375, 308.47705078125, 1684.657470703125, 333.8198547363281]",car,0.4905909597873688,kept,detection,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",IMG_007548,unresolved_reference_matching,,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",raw_0001,/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/detection_overlays/r0_sheet_01.jpg,True,r0,unresolved_reference_matching,S001
"[392.3701171875, 283.07025146484375, 453.6249694824219, 309.0006408691406]",car,0.25601881742477417,kept,detection,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",IMG_007555,unresolved_reference_matching,,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",raw_0002,/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/detection_overlays/r0_sheet_01.jpg,True,r0,unresolved_reference_matching,S002
"[964.8949584960938, 212.20925903320312, 1168.403076171875, 287.3476257324219]",car,0.2875468134880066,kept,detection,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",IMG_007554,unresolved_reference_matching,,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",raw_0003,/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/detection_overlays/r0_sheet_01.jpg,True,r0,unresolved_reference_matching,S003
"[55.80290222167969, 232.8849334716797, 97.7286376953125, 264.4483642578125]",car,0.48354098200798035,kept,detection,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",IMG_007536,unresolved_reference_matching,,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",raw_0002,/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/detection_overlays/r0_sheet_02.jpg,True,r0,unresolved_reference_matching,S002
"[141.15576171875, 235.80882263183594, 180.4897918701172, 264.17047119140625]",car,0.4030252695083618,kept,detection,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",IMG_007536,unresolved_reference_matching,,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",raw_0004,/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/detection_overlays/r0_sheet_02.jpg,True,r0,unresolved_reference_matching,S004
"[0.49386119842529297, 230.09046936035156, 56.54373550415039, 263.4659729003906]",car,0.2885078191757202,kept,detection,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",IMG_007536,unresolved_reference_matching,,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",raw_0005,/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/detection_overlays/r0_sheet_02.jpg,True,r0,unresolved_reference_matching,S005
"[0.8620891571044922, 105.9199447631836, 125.618408203125, 170.16004943847656]",car,0.38850677013397217,kept,detection,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",IMG_007547,unresolved_reference_matching,,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",raw_0003,/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/detection_overlays/r0_sheet_02.jpg,True,r0,unresolved_reference_matching,S003
"[1826.2452392578125, 187.23092651367188, 1861.95556640625, 221.49501037597656]",car,0.5704654455184937,kept,detection,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",IMG_007527,unresolved_reference_matching,,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",raw_0002,/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/detection_overlays/r0_sheet_02.jpg,True,r0,unresolved_reference_matching,S002
"[1796.9527587890625, 187.36463928222656, 1827.330810546875, 214.1238555908203]",car,0.33559510111808777,kept,detection,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",IMG_007527,unresolved_reference_matching,,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",raw_0003,/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/detection_overlays/r0_sheet_02.jpg,True,r0,unresolved_reference_matching,S003
"[1869.17626953125, 182.7860870361328, 1909.6572265625, 226.22137451171875]",car,0.3130759000778198,kept,detection,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",IMG_007527,unresolved_reference_matching,,"Cyan detection has no frozen geometric reference pairing; could be real unreferenced vehicle, reflection, localization mismatch or false detection. Not called false solely for lacking match.",raw_0004,/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/detection_overlays/r0_sheet_02.jpg,True,r0,unresolved_reference_matching,S004
