image_id,observation,run,status,target_id
IMG_007548,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007555,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007555,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T05
IMG_007555,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T06
IMG_007555,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T07
IMG_007555,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T08
IMG_007554,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007554,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T04
IMG_007531,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007531,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T03
IMG_007536,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T03
IMG_007547,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007547,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T03
IMG_007527,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007527,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T03
IMG_007527,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T04
IMG_007527,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T05
IMG_007529,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007620,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T04
IMG_007620,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T05
IMG_007598,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T02
IMG_007594,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T03
IMG_007594,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T04
IMG_007594,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T05
IMG_007599,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007599,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T03
IMG_007603,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T02
IMG_007601,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T02
IMG_007601,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T08
IMG_007612,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T07
IMG_007612,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T09
IMG_007621,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T02
IMG_007621,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T06
IMG_007621,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T09
IMG_007621,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T10
IMG_007606,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T02
IMG_007606,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T03
IMG_007602,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007650,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T04
IMG_007655,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T04
IMG_007655,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T05
IMG_007652,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007652,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T04
IMG_007652,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T05
IMG_007658,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T01
IMG_007658,Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection.,r0,confirmed_detector_miss,T03
IMG_007647,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T04
IMG_007665,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T04
IMG_007661,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T04
IMG_007626,"Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing.",r0,unresolved_reference_matching,T01
